state,state_code,year,race,race_code,hispanic_origin,hispanic_origin_code,total_births,births_by_race,total_deaths,deaths_by_race,total_mmr,mmr_by_race,total_population,population_by_race
Florida,12,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,213148,49374,64,31,30.03,62.79,9869741,0
Florida,12,2012,White,2106-3,Not Hispanic or Latino,2186-2,213148,97042,64,26,30.03,26.79,9869741,0
Florida,12,2013,Black or African American,2054-5,Not Hispanic or Latino,2186-2,215407,49113,83,27,38.53,54.98,9990213,0
Florida,12,2013,White,2106-3,Hispanic or Latino,2135-2,215407,55045,83,22,38.53,39.97,9990213,0
Florida,12,2013,White,2106-3,Not Hispanic or Latino,2186-2,215407,98586,83,31,38.53,31.44,9990213,0
Florida,12,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,219991,49313,62,25,28.18,50.70,10170011,1656077
Florida,12,2014,White,2106-3,Not Hispanic or Latino,2186-2,219991,100837,62,24,28.18,23.80,10170011,0
Florida,12,2015,Black or African American,2054-5,Not Hispanic or Latino,2186-2,224269,49609,68,24,30.32,48.38,10368733,0
Florida,12,2015,White,2106-3,Not Hispanic or Latino,2186-2,224269,102549,68,33,30.32,32.18,10368733,5800614
Florida,12,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,225022,49788,50,16,22.22,32.14,10542288,1716677
Florida,12,2016,White,2106-3,Not Hispanic or Latino,2186-2,225022,100621,50,25,22.22,24.85,10542288,0
Florida,12,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,223630,50385,48,21,21.46,41.68,10727581,1750334
Florida,12,2017,White,2106-3,Hispanic or Latino,2135-2,223630,58002,48,11,21.46,18.96,10727581,2519258
Florida,12,2017,White,2106-3,Not Hispanic or Latino,2186-2,223630,97704,48,15,21.46,15.35,10727581,5873116
Florida,12,2018,Black or African American,2054-5,Not Hispanic or Latino,2186-2,221542,49101,54,17,24.37,34.62,10887548,1771878
Florida,12,2018,White,2106-3,Hispanic or Latino,2135-2,221542,62197,54,10,24.37,16.08,10887548,2605269
Florida,12,2018,White,2106-3,Not Hispanic or Latino,2186-2,221542,97290,54,22,24.37,22.61,10887548,5905899
Florida,12,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,220002,48761,69,28,31.36,57.42,10980681,1788071
Florida,12,2019,White,2106-3,Not Hispanic or Latino,2186-2,220002,95061,69,30,31.36,31.56,10980681,5929560
Georgia,13,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-2,141377,46235,36,26,25.46,56.23,4917756,0
Georgia,13,2010,Black or African American,2054-5,Not Hispanic or Latino,2186-2,133947,44824,38,23,28.37,51.31,4958482,0
Georgia,13,2010,White,2106-3,Not Hispanic or Latino,2186-2,133947,59700,38,11,28.37,18.43,4958482,2793451
Georgia,13,2011,Black or African American,2054-5,Not Hispanic or Latino,2186-2,132409,44649,48,28,36.25,62.71,5012403,0
Georgia,13,2011,White,2106-3,Not Hispanic or Latino,2186-2,132409,60622,48,16,36.25,26.39,5012403,0
Georgia,13,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,130280,44293,40,24,30.70,54.18,5068921,0
Georgia,13,2012,White,2106-3,Not Hispanic or Latino,2186-2,130280,60311,40,13,30.70,21.55,5068921,0
Georgia,13,2013,Black or African American,2054-5,Not Hispanic or Latino,2186-2,128748,44381,82,38,63.69,85.62,5110806,0
Georgia,13,2013,White,2106-3,Not Hispanic or Latino,2186-2,128748,59379,82,39,63.69,65.68,5110806,0
Georgia,13,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,130946,45022,104,46,79.42,102.17,5170356,0
Georgia,13,2014,White,2106-3,Not Hispanic or Latino,2186-2,130946,60104,104,47,79.42,78.20,5170356,0
Georgia,13,2015,Black or African American,2054-5,Not Hispanic or Latino,2186-2,131404,45461,98,48,74.58,105.59,5234978,0
Georgia,13,2015,White,2106-3,Not Hispanic or Latino,2186-2,131404,60328,98,44,74.58,72.93,5234978,2834092
Georgia,13,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,130042,45457,73,40,56.14,88.00,5289906,0
Georgia,13,2016,White,2106-3,Not Hispanic or Latino,2186-2,130042,58885,73,24,56.14,40.76,5289906,0
Georgia,13,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,129243,45579,74,44,57.26,96.54,5353872,1780258
Georgia,13,2017,White,2106-3,Not Hispanic or Latino,2186-2,129243,57948,74,23,57.26,39.69,5353872,2843140
Georgia,13,2018,Black or African American,2054-5,Not Hispanic or Latino,2186-2,126172,44873,62,35,49.14,78.00,5404059,1806836
Georgia,13,2018,White,2106-3,Not Hispanic or Latino,2186-2,126172,56693,62,23,49.14,40.57,5404059,2847605
Georgia,13,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,126371,44918,64,44,50.64,97.96,5456999,1833387
Georgia,13,2019,White,2106-3,Not Hispanic or Latino,2186-2,126371,55840,64,16,50.64,28.65,5456999,2856063
Illinois,17,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-2,171163,29925,35,19,20.45,63.49,6520723,0
Illinois,17,2009,White,2106-3,Not Hispanic or Latino,2186-2,171163,90930,35,12,20.45,13.20,6520723,4227138
Illinois,17,2010,White,2106-3,Not Hispanic or Latino,2186-2,165200,89165,29,15,17.55,16.82,6538356,0
Illinois,17,2011,Black or African American,2054-5,Not Hispanic or Latino,2186-2,161312,27183,45,15,27.90,55.18,6555063,0
Illinois,17,2011,White,2106-3,Not Hispanic or Latino,2186-2,161312,87952,45,20,27.90,22.74,6555063,0
Illinois,17,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,159160,27274,35,15,21.99,55.00,6555800,0
Illinois,17,2012,White,2106-3,Not Hispanic or Latino,2186-2,159160,86194,35,11,21.99,12.76,6555800,0
Illinois,17,2013,White,2106-3,Not Hispanic or Latino,2186-2,156931,85866,27,14,17.21,16.30,6555652,0
Illinois,17,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,158556,27187,32,10,20.18,36.78,6559694,0
Illinois,17,2014,White,2106-3,Not Hispanic or Latino,2186-2,158556,86227,32,14,20.18,16.24,6559694,4133362
Illinois,17,2015,Black or African American,2054-5,Not Hispanic or Latino,2186-2,158116,27160,40,18,25.30,66.27,6545500,997787
Illinois,17,2015,White,2106-3,Not Hispanic or Latino,2186-2,158116,85424,40,17,25.30,19.90,6545500,0
Illinois,17,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,154445,26359,28,13,18.13,49.32,6509748,0
Illinois,17,2016,White,2106-3,Not Hispanic or Latino,2186-2,154445,83153,28,11,18.13,13.23,6509748,0
Illinois,17,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,149390,26506,39,15,26.11,56.59,6509545,989756
