year,state,id,state_code,latitude,longitude,deaths,births,maternal_mortality_ratio,population,employer,non_group,medicaid,medicare,military,uninsured,air_pollution_val,cancer_death_val,cardio_death_val,child_pov_val,choles_check_val,dent_vis_val,dentists_val,diabetes_val,drug_deaths_val,health_stat_fem_val,immun_child_val,income_ineq_val,infant_mort_val,infect_dis_val,obesity_val,phys_inac_val,prem_death_val,smoking_val,uninsured_val,all_determs_val,all_outcomes_val,chlamydia_val,prem_death_ri_val,teen_birth_val,primary_care_val
2010,California,US.CA,CA,36.778261,-119.417932,82.0,510198.0,16.07,18736126.0,54.0,8.0,13.1,1.2,1.0,22.5,15.2,173.3,262.0,21.0,74.5,70.3,76.4,9.1,10.5,50.4,88.83,4.84,5.1,20.0,25.5,22.1,6249.0,12.9,19.3,0.075,0.147,404.8,1.6,39.7,118.8
2011,California,US.CA,CA,36.778261,-119.417932,71.0,502120.0,14.14,18943585.0,53.7,7.8,13.7,1.2,1.0,22.6,15.1,172.9,250.4,23.0,74.5,69.6,77.2,8.6,10.9,52.0,88.05,4.97,5.0,8.5,24.7,20.4,6015.0,12.1,19.4,0.115,0.151,397.2,1.6,38.4,119.0
2012,California,US.CA,CA,36.778261,-119.417932,81.0,503755.0,16.08,19122866.0,53.5,7.8,14.0,1.3,1.1,22.5,15.3,172.3,241.3,24.0,75.5,69.6,77.0,8.9,11.0,51.4,90.78,5.21,4.8,17.0,23.8,19.1,6190.0,13.7,19.6,0.198,0.08199999999999999,403.8,1.5,31.5,118.2
2013,California,US.CA,CA,36.778261,-119.417932,77.0,494705.0,15.56,19268325.0,53.3,8.1,14.6,1.3,1.1,21.6,15.1,170.9,235.0,22.0,75.5,67.0,76.1,9.8,11.2,53.0,66.8,5.24,4.8,-0.252,25.0,18.0,5873.0,12.6,18.8,0.227,0.083,447.7,1.5,28.7,118.2
2014,California,US.CA,CA,36.778261,-119.417932,88.0,502879.0,17.5,19533596.0,53.8,9.4,18.7,1.5,1.0,15.5,13.9,171.0,234.4,20.3,75.2,67.0,76.5,10.2,11.0,49.4,69.3,5.25,4.6,-0.4,24.1,21.4,5590.0,12.5,17.5,0.294,0.054000000000000006,444.9,1.5,26.5,122.2
2015,California,US.CA,CA,36.778261,-119.417932,84.0,491748.0,17.08,19701750.0,54.2,10.0,23.0,1.5,1.0,10.2,12.5,170.1,233.6,22.9,75.2,65.1,76.6,10.3,11.3,50.2,77.9,5.25,4.6,-0.287,24.7,21.7,5609.0,12.8,14.8,0.284,0.07,439.9,1.5,23.6,123.3
2016,California,US.CA,CA,36.778261,-119.417932,91.0,488827.0,18.62,19756656.0,55.0,9.7,24.0,1.4,1.0,8.8,11.4,169.9,229.9,19.5,76.9,65.1,77.1,10.0,11.4,50.4,75.0,5.2,4.5,0.287,24.2,20.0,5528.0,11.7,10.5,0.277,0.069,459.9,1.5,21.1,131.5
2017,California,US.CA,CA,36.778261,-119.417932,90.0,471658.0,19.08,19889100.0,55.6,9.8,23.6,1.4,0.9,8.6,11.7,169.3,230.4,18.6,76.9,67.1,76.8,10.2,11.8,49.6,65.3,5.27,4.4,0.023,25.0,20.5,5647.0,11.0,8.0,0.245,0.109,487.5,1.5,19.0,135.1
2018,California,US.CA,CA,36.778261,-119.417932,81.0,454920.0,17.81,19893468.0,56.2,9.5,23.5,1.3,1.0,8.6,11.9,169.2,231.1,19.9,87.6,67.1,77.5,10.5,11.9,50.1,68.6,5.16,4.3,-0.273,25.1,20.0,5734.0,11.3,7.3,0.312,0.119,506.2,1.5,17.0,138.3
2019,California,US.CA,CA,36.778261,-119.417932,71.0,446479.0,15.9,19867369.0,57.0,8.7,22.5,1.3,0.9,9.5,12.8,168.9,236.7,17.4,87.6,67.4,77.8,10.4,12.1,48.3,68.6,5.16,4.2,-0.033,25.8,21.0,5665.0,11.2,7.2,0.272,0.127,553.4,1.5,15.1,141.4
